,company_size,joined,location,market,pitch,raised,signal,stage,title,website
412,-,2015-09-01 00:00:00,Bengaluru,Mobile Commerce,"
M4D is sharing the revenue’s with customers who install & Does Shopping
",$10000,2,Seed,Mobile 4 Dollars (M4D),mobile4dollars.com
413,11-50,2016-01-01 00:00:00,Amaravathi,Mobile Commerce,"
FMIM is an Digital Media Company which provide Online Solutions to Companies
",$15000,2,Seed,Friendsmoo Info Media,fmim.in
414,,2016-01-01 00:00:00,Hyderabad,Small and Medium Businesses,"
Run meetings that produce results!
",$10000,2,Seed,Zero Meetings,zeromeetings.io
415,1-10,2016-03-01 00:00:00,Seattle,Online Dating,"
Online Speed Dating
",$12000,2,Seed,Viamour,viamour.com
416,-,2017-09-01 00:00:00,-,-,"
",$10000,2,Seed,Dapp,-
417,,2016-09-01 00:00:00,Adelaide,Education,"
Sensor Based STEM Learning
",$12500,2,Seed,Sensibility,phonelabs.net
418,-,2017-01-01 00:00:00,Delaware,User Experience Design,"
Fully Customized E-Commerce System
",$15000,2,Seed,Graphic Hex,graphichex.com
419,1-10,2017-01-01 00:00:00,Indianapolis,Crowdfunding,"
Newest innovation in crowdfunding
",$15000,2,,Folio Cube (Fundfolio Crowdfunding),launchafolio.com
420,1-10,2012-01-01 00:00:00,Chicago,Loyalty Programs,"
Create Loyal Customers, Increase Sales
",$10000,2,Seed,Joint Loyalty,jointloyalty.com
421,-,2012-11-01 00:00:00,-,-,"
",$10000,2,Seed,Peiris Clothing,-
422,1-10,2013-03-01 00:00:00,Miami,Gift Exchange,"
Social Media meets WishLists
",$10000,2,Seed,WishGyft,in progress
423,1-10,2013-08-01 00:00:00,Toronto,Hospitality,"
Peer-to-peer service platform
",$10000,2,Seed,LocalPal,
424,1-10,2014-04-01 00:00:00,Greece,Hotels,"
The booking platform for travelers and travel professionals.
",$10000,2,,Klinns,klinns.com
425,1-10,2014-04-01 00:00:00,Saint Petersburg,Mobile Games,"
We make mobile logic games for players who love riddles & brain teasers.
",$15000,2,,Planemo Studio,planemostd.com
426,1-10,2015-12-01 00:00:00,Thunder Bay,Retail Technology,"
Omnichannel eCommerce for Branded Manufacturers
",$15000,2,Seed,ShipEarly,shipearly.com
427,1-10,2014-06-01 00:00:00,Pleasanton,Mobile Games,"
Next-Gen Independent Console & Mobile Gaming
",$12531,2,Seed,Salsa Bear Studios,salsabearstudios.com
428,,2014-06-01 00:00:00,Boston,Social News,"
The TechCrunch in Spanish, Latin American and Europe
",$10000,2,Seed,TechPepper,techpepper.org
429,1-10,2015-03-01 00:00:00,Chicago,Medical Devices,"
Reinventing residential wheelchair accessibility
",$10000,2,Seed,EscaWheel,escawheel.com
430,,2014-09-01 00:00:00,San Francisco,E-Commerce,"
ALL CROWDFUNDED, PERMANENTLY
",$15000,2,Seed,crowdid,crowdid.co
431,1-10,2014-10-01 00:00:00,Las Vegas,Business Services,"
Book & Manage Home Services in a Click
",$10000,2,,Provingo,provingo.com
432,-,2014-10-01 00:00:00,Austin,Mobile Commerce,"
Specialized Sports Retail
",$15000,2,Seed,The Austin Trail Running Company,austintrailrunning.com
433,11-50,2015-06-01 00:00:00,Vietnam,Social Recruiting,"
The Hiring Solution for Your Growing Business
",$13000,2,Seed,Jobwise,jobwise.com
434,1-10,2015-09-01 00:00:00,Mumbai,Customer Experience,"
WiFi Based Customer Engagement with Analytics and Intelligence
",$10000,2,Seed,Wingage WiFi,wingage.net
435,1-10,2015-10-01 00:00:00,London,Price Comparison,"
A Customer Union for the 21st Century
",$10000,2,Seed,Customer Power,customer-power.com
436,1-10,2015-11-01 00:00:00,Bengaluru,Elder Care,"
WEARABLE FOR SAFETY, RESCUE, SURVEILLANCE OF PEOPLE
",$11936,2,Seed,EASYM2M TECHNOLOGIES PRIVATE,HTTP:
437,1-10,2016-01-01 00:00:00,Sacramento,Wind,"
Highly Modular, Cost-Effective, No Permanent Magnets
",$15000,2,Seed,NoMag Motors,nomagmotors.com
438,11-50,2016-02-01 00:00:00,Mumbai,Video Streaming,"
Technology for Billions!
",$10000,2,Seed,Billion Plus Computing,retv.in
439,1-10,2017-04-01 00:00:00,Philadelphia,Mobile Advertising,"
Small Business Push Marketing Platform
",$15000,2,Seed,Blinc Mobile,blincmobile.co
